1,指令,0,175,AF,打开显示
2,指令,0,141,8D,打开电荷泵
3,指令,0,20,14,
4,指令,0,180,B4,设置页地址为3
5,指令,0,9,9,设置列地址为41（0x29）
6,指令,0,18,12,
7,数据,0,56,38,以下写入dzzzzcn字模
8,数据,0,68,44,
9,数据,0,68,44,
10,数据,0,72,48,
11,数据,0,127,7F,
12,数据,0,0,0,
13,数据,0,0,0,
14,数据,0,68,44,
15,数据,0,100,64,
16,数据,0,84,54,
17,数据,0,76,4C,
18,数据,0,68,44,
19,数据,0,0,0,
20,数据,0,0,0,
21,数据,0,68,44,
22,数据,0,100,64,
23,数据,0,84,54,
24,数据,0,76,4C,
25,数据,0,68,44,
26,数据,0,0,0,
27,数据,0,0,0,
28,数据,0,68,44,
29,数据,0,100,64,
30,数据,0,84,54,
31,数据,0,76,4C,
32,数据,0,68,44,
33,数据,0,0,0,
34,数据,0,0,0,
35,数据,0,68,44,
36,数据,0,100,64,
37,数据,0,84,54,
38,数据,0,76,4C,
39,数据,0,68,44,
40,数据,0,0,0,
41,数据,0,0,0,
42,数据,0,56,38,
43,数据,0,68,44,
44,数据,0,68,44,
45,数据,0,68,44,
46,数据,0,32,20,
47,数据,0,0,0,
48,数据,0,0,0,
49,数据,0,124,7C,
50,数据,0,8,8,
51,数据,0,4,4,
52,数据,0,4,4,
53,数据,0,120,78,
